Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissement;Nom de la commune;Code INSEE de la commune;Secteur;Effectifs;IPS;Ecart-type de l'IPS
2023-2024;AIX-MARSEILLE;084;VAUCLUSE;0840926A;COLLEGE MARIE MAURON;PERTUIS;84089;public;423;117.5;36.7
2023-2024;NANTES;085;VENDEE;0850015E;COLLEGE LES SICARDIERES;L ILE D YEU;85113;public;96;106.2;33.1
2023-2024;NANTES;085;VENDEE;0850063G;COLLEGE NICOLAS HAXO;LA ROCHE SUR YON;85191;public;622;100.4;33.1
2023-2024;NANTES;085;VENDEE;0850090L;COLLEGE PRIVE SAINTE MARIE;AIZENAY;85003;privé sous contrat;466;113.1;30.2
2023-2024;NANTES;085;VENDEE;0850091M;COLLEGE PRIVE NOTRE DAME DE L ESPERANCE;LES BROUZILS;85038;privé sous contrat;374;112.0;30.4
2023-2024;NANTES;085;VENDEE;0850103A;COLLEGE PRIVE NOTRE DAME DU PORT;L ILE D YEU;85113;privé sous contrat;44;94.3;15.4
2023-2024;NANTES;085;VENDEE;0850111J;COLLEGE PRIVE;LE POIRE SUR VIE;85178;privé sous contrat;667;116.6;29.7
2023-2024;NANTES;085;VENDEE;0851158X;COLLEGE PRIVE SAINT JOSEPH;CHALLANS;85047;privé sous contrat;1221;108.9;30.0
2023-2024;NANTES;085;VENDEE;0851620Z;COLLEGE STEPHANE PIOBETTA;AUBIGNY LES CLOUZEAUX;85008;public;634;107.8;31.2
2023-2024;NANTES;085;VENDEE;0851698J;COLLEGE JACQUELINE AURIOL;CHALLANS;85047;public;367;94.8;29.7
2023-2024;NANTES;085;VENDEE;0851704R;COLLEGE PRIVE MERE TERESA;MONTAIGU VENDEE;85146;privé sous contrat;253;119.4;29.8
2023-2024;POITIERS;086;VIENNE;0860020E;COLLEGE ARSENE LAMBERT;LENCLOITRE;86128;public;511;96.8;28.5
2023-2024;POITIERS;086;VIENNE;0860027M;COLLEGE GEORGES DAVID;MIREBEAU;86160;public;345;97.3;28.1
2023-2024;POITIERS;086;VIENNE;0860049L;COLLEGE CAMILLE GUERIN;VOUNEUIL SUR VIENNE;86298;public;501;107.4;32.4
2023-2024;POITIERS;086;VIENNE;0860723U;COLLEGE PIERRE DE RONSARD;POITIERS;86194;public;628;99.1;35.5
2023-2024;POITIERS;086;VIENNE;0860761K;COLLEGE PRIVE JEANNE D ARC;CIVRAY;86078;privé sous contrat;154;101.5;25.3
2023-2024;POITIERS;086;VIENNE;0860762L;COLLEGE LA SALLE SAINT MARTIN;VALENCE EN POITOU;86082;privé sous contrat;173;103.4;25.5
2023-2024;POITIERS;086;VIENNE;0860772X;COLLEGE PRIVE LA CHAUME LA SALLE;VOUILLE;86294;privé sous contrat;446;119.9;30.3
2023-2024;POITIERS;086;VIENNE;0860876K;COLLEGE GEORGE SAND;CHATELLERAULT;86066;public;600;83.7;30.3
2023-2024;LIMOGES;087;HAUTE-VIENNE;0870048E;COLLEGE JEAN ROSTAND;SAINT SULPICE LAURIERE;87181;public;152;96.8;25.9
2023-2024;LIMOGES;087;HAUTE-VIENNE;0870071E;COLLEGE PIERRE DONZELOT;LIMOGES;87085;public;474;109.8;34.0
2023-2024;LIMOGES;087;HAUTE-VIENNE;0870729V;COLLEGE PIERRE DE RONSARD;LIMOGES;87085;public;266;73.1;23.9
2023-2024;NANCY-METZ;088;VOSGES;0880005C;COLLEGE CHARLEMAGNE;BRUYERES;88078;public;463;93.1;30.3
2023-2024;NANCY-METZ;088;VOSGES;0880041S;COLLEGE PIERRE ET MARIE CURIE;NEUFCHATEAU;88321;public;459;97.0;32.9
2023-2024;NANCY-METZ;088;VOSGES;0880096B;COLLEGE PRIVE SAINT JOSEPH;REMIREMONT;88383;privé sous contrat;243;107.2;30.5
2023-2024;NANCY-METZ;088;VOSGES;0880106M;COLLEGE PRIVE JEANNE D ARC;BRUYERES;88078;privé sous contrat;129;90.5;24.6
2023-2024;NANCY-METZ;088;VOSGES;0880155R;COLLEGE CHRISTIAN PONCELET;REMIREMONT;88383;public;381;105.6;35.5
2023-2024;NANCY-METZ;088;VOSGES;0881102V;COLLEGE LYAUTEY;CONTREXEVILLE;88114;public;348;89.9;29.5
2023-2024;NANCY-METZ;088;VOSGES;0881148V;COLLEGE GUILLAUME APOLLINAIRE;LE THOLY;88470;public;162;104.2;29.8
2023-2024;NANCY-METZ;088;VOSGES;0881369K;COLLEGE CAMILLE CLAUDEL;XERTIGNY;88530;public;327;106.1;30.2
2023-2024;NANCY-METZ;088;VOSGES;0881447V;COLLEGE JULES FERRY;SAINT DIE DES VOSGES;88413;public;187;91.3;35.5
2023-2024;NANCY-METZ;088;VOSGES;0881496Y;COLLEGE PRIVE NOTRE DAME SAINT JOSEPH;EPINAL;88160;privé sous contrat;623;124.3;30.4
2023-2024;DIJON;089;YONNE;0890017K;COLLEGE PAUL FOURREY;MIGENNES;89257;public;311;86.4;26.8
2023-2024;DIJON;089;YONNE;0890019M;COLLEGE MILES DE NOYERS;NOYERS;89279;public;152;102.4;30.0
2023-2024;DIJON;089;YONNE;0890024T;COLLEGE MARCEL AYME;SAINT FLORENTIN;89345;public;492;87.8;30.9
2023-2024;DIJON;089;YONNE;0890028X;COLLEGE DU GATINAIS EN BOURGOGNE;SAINT VALERIEN;89370;public;568;100.0;29.0
2023-2024;DIJON;089;YONNE;0890035E;COLLEGE PIERRE LAROUSSE;TOUCY;89419;public;337;103.4;30.2
2023-2024;DIJON;089;YONNE;0890790A;COLLEGE CHAMPS PLAISANTS;SENS;89387;public;827;85.2;29.2
2023-2024;DIJON;089;YONNE;0890977D;COLLEGE JACQUES PREVERT;MIGENNES;89257;public;396;88.8;30.0
2023-2024;DIJON;089;YONNE;0891054M;COLLEGE SAINT JOSEPH LA SALLE;AUXERRE;89024;privé sous contrat;734;122.0;30.8
2023-2024;DIJON;089;YONNE;0891093E;COLLEGE MONTPEZAT;SENS;89387;public;359;101.3;33.6
2023-2024;BESANCON;090;TERRITOIRE DE BELFORT;0900017E;COLLEGE CHATEAUDUN;BELFORT;90010;public;341;85.5;32.4
2023-2024;BESANCON;090;TERRITOIRE DE BELFORT;0900018F;COLLEGE ARTHUR RIMBAUD;BELFORT;90010;public;520;96.6;38.4
2023-2024;VERSAILLES;091;ESSONNE;0910021D;COLLEGE LE VILLAGE;EVRY COURCOURONNES;91228;public;605;93.7;29.1
2023-2024;VERSAILLES;091;ESSONNE;0910028L;COLLEGE MICHEL VIGNAUD;LIMOURS;91338;public;781;131.9;34.5
2023-2024;VERSAILLES;091;ESSONNE;0910046F;COLLEGE JOSEPH BARA;PALAISEAU;91477;public;458;119.7;38.2
2023-2024;VERSAILLES;091;ESSONNE;0910056S;COLLEGE OLIVIER DE SERRES;VIRY CHATILLON;91687;public;425;80.8;24.8
2023-2024;VERSAILLES;091;ESSONNE;0910718L;COLLEGE LOUIS PASTEUR;LONGJUMEAU;91345;public;704;94.5;31.3
2023-2024;VERSAILLES;091;ESSONNE;0910968H;COLLEGE ALAIN FOURNIER;ORSAY;91471;public;542;142.5;35.0
2023-2024;VERSAILLES;091;ESSONNE;0910971L;COLLEGE LES SABLONS;VIRY CHATILLON;91687;public;695;85.8;26.3
2023-2024;VERSAILLES;091;ESSONNE;0911029Z;COLLEGE PABLO PICASSO;SAULX LES CHARTREUX;91587;public;686;108.3;32.6
2023-2024;VERSAILLES;091;ESSONNE;0911031B;COLLEGE DENIS DIDEROT;MASSY;91377;public;679;107.2;36.9
2023-2024;VERSAILLES;091;ESSONNE;0911032C;COLLEGE PIERRE MENDES FRANCE;MARCOUSSIS;91363;public;449;104.5;34.2
2023-2024;VERSAILLES;091;ESSONNE;0911038J;COLLEGE PAUL BERT;SAVIGNY SUR ORGE;91589;public;510;106.6;38.7
2023-2024;VERSAILLES;091;ESSONNE;0911152H;COLLEGE JEAN MOULIN;LA NORVILLE;91457;public;770;98.5;32.3
2023-2024;VERSAILLES;091;ESSONNE;0911185U;COLLEGE PARC DE VILLEROY;MENNECY;91386;public;968;113.1;34.2
2023-2024;VERSAILLES;091;ESSONNE;0911396Y;COLLEGE GEORGES POMPIDOU;MONTGERON;91421;public;538;103.6;34.4
2023-2024;VERSAILLES;091;ESSONNE;0911403F;COLLEGE HUBERT ROBERT;LE MEREVILLOIS;91390;public;748;103.2;28.2
2023-2024;VERSAILLES;091;ESSONNE;0911572P;COLLEGE SAINT EXUPERY;MAROLLES EN HUREPOIX;91376;public;653;123.5;33.0
2023-2024;VERSAILLES;091;ESSONNE;0911940P;COLLEGE EMILE AUVRAY;DOURDAN;91200;public;389;115.1;33.2
2023-2024;VERSAILLES;091;ESSONNE;0912000E;COLLEGE PRIVE BETH RIVKAH;YERRES;91691;privé sous contrat;175;136.1;31.4
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0920081N;COLLEGE LES ORMEAUX;FONTENAY AUX ROSES;92032;public;750;115.7;36.3
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0920855E;COLLEGE ROBERT DOISNEAU;MONTROUGE;92049;public;461;115.1;36.7
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0920890T;COLLEGE PRIVE SAINT JOSEPH;ASNIERES SUR SEINE;92004;privé sous contrat;611;154.4;21.6
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0920902F;COLLEGE PRIVE DUPANLOUP;BOULOGNE BILLANCOURT;92012;privé sous contrat;734;160.6;15.9
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921157H;COLLEGE EDOUARD VAILLANT;GENNEVILLIERS;92036;public;969;94.4;30.0
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921180H;COLLEGE MASARYK;CHATENAY MALABRY;92019;public;287;89.3;30.5
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921181J;COLLEGE PIERRE BROSSOLETTE;CHATENAY MALABRY;92019;public;574;130.8;35.9
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921234S;COLLEGE LES BONS RAISINS;RUEIL MALMAISON;92063;public;468;122.0;37.5
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921235T;COLLEGE LES MARTINETS;RUEIL MALMAISON;92063;public;558;116.9;36.3
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921241Z;COLLEGE PAUL BERT;MALAKOFF;92046;public;588;117.1;40.4
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921354X;COLLEGE GEORGE SAND;CHATILLON;92020;public;498;130.1;36.6
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921394R;COLLEGE ANDRE DOUCET;NANTERRE;92050;public;494;88.7;27.8
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921496B;COLLEGE GEORGES POMPIDOU;COURBEVOIE;92026;public;675;129.7;33.8
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921501G;COLLEGE MARCEL PAGNOL;RUEIL MALMAISON;92063;public;580;126.0;33.2
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921502H;COLLEGE MALMAISON;RUEIL MALMAISON;92063;public;551;139.9;33.4
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921623P;COLLEGE JEAN JAURES;CLICHY;92024;public;561;87.9;28.7
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921778H;COLLEGE JOLIOT CURIE;BAGNEUX;92007;public;379;88.4;25.2
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921779J;COLLEGE ALBERT CAMUS;BOIS COLOMBES;92009;public;668;137.8;35.5
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921785R;COLLEGE MARIE CURIE;SCEAUX;92071;public;611;146.9;31.7
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921902T;COLLEGE PRIVE SAINTE GENEVIEVE;ASNIERES SUR SEINE;92004;privé sous contrat;796;158.1;18.0
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921908Z;COLLEGE PRIVE JEANNE D ARC;COLOMBES;92025;privé sous contrat;866;153.4;22.9
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921912D;COLLEGE PRIVE SAINTE MARIE;NEUILLY SUR SEINE;92051;privé sous contrat;449;155.2;23.6
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921913E;COLLEGE PRIVE NOTRE DAME DE SAINTE CROIX;NEUILLY SUR SEINE;92051;privé sous contrat;799;159.3;17.9
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921916H;COLLEGE PRIVE MADELEINE DANIELOU;RUEIL MALMAISON;92063;privé sous contrat;729;159.7;18.8
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0921918K;COLLEGE PRIVE SAINTE JEANNE D ARC;SCEAUX;92071;privé sous contrat;604;145.3;28.2
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922143E;COLLEGE YVES DU MANOIR;VAUCRESSON;92076;public;301;135.4;36.4
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922450N;COLLEGE PRIVE NOTRE DAME;MEUDON;92048;privé sous contrat;889;157.5;18.3
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922482Y;COLLEGE PRIVE HAUTEFEUILLE;COURBEVOIE;92026;privé sous contrat;217;148.2;24.9
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922523T;COLLEGE LES BRUYERES;COURBEVOIE;92026;public;596;138.8;34.8
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922565N;COLLEGE FRANCOIS TRUFFAUT;ASNIERES SUR SEINE;92004;public;727;129.3;34.1
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922578C;COLLEGE GEORGES SEURAT;COURBEVOIE;92026;public;502;115.4;37.2
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922579D;ECOLE DE DANSE DE L OPERA DE PARIS;NANTERRE;92050;public;125;146.2;30.4
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922595W;COLLEGE VINCENT VAN GOGH;CLICHY;92024;public;509;91.4;30.6
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922629H;COLLEGE JEAN MERMOZ;BOIS COLOMBES;92009;public;648;133.2;37.3
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922645A;COLLEGE LES CHAMPS PHILIPPE;LA GARENNE COLOMBES;92035;public;437;119.4;35.7
2023-2024;VERSAILLES;092;HAUTS-DE-SEINE;0922731U;ECOLE SECONDAIRE PRIVEE BIENHEUREUX CHARLES DE FOUCAULD;PUTEAUX;92062;privé sous contrat;453;147.5;28.3
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930043S;COLLEGE JEAN DE BEAUMONT;VILLEMOMBLE;93077;public;548;93.8;31.6
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930586G;COLLEGE ALBERT CAMUS;ROSNY SOUS BOIS;93064;public;467;99.1;30.2
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930593P;COLLEGE ANTOINE DE SAINT EXUPERY;ROSNY SOUS BOIS;93064;public;493;105.5;32.7
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930619T;COLLEGE EDOUARD HERRIOT;LIVRY GARGAN;93046;public;838;93.2;34.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930623X;COLLEGE JEAN MOULIN;NEUILLY PLAISANCE;93049;public;730;107.3;32.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930629D;COLLEGE JEAN BAPTISTE COROT;LE RAINCY;93062;public;707;127.9;35.9
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930883E;COLLEGE SAINT EXUPERY;NOISY LE GRAND;93051;public;723;109.0;37.4
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930894S;COLLEGE HONORE DE BALZAC;NEUILLY SUR MARNE;93050;public;795;91.4;28.4
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930907F;COLLEGE PRIVE SAINT GERMAIN;DRANCY;93029;privé sous contrat;371;118.3;28.1
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930912L;COLLEGE PRIVE FIDELIS;MONTREUIL;93048;privé sous contrat;236;118.0;29.2
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930920V;COLLEGE PRIVE SAINTE MARIE;STAINS;93072;privé sous contrat;488;100.7;26.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930959M;COLLEGE PRIVE JEAN BAPTISTE DE LA SALLE;SAINT DENIS;93066;privé sous contrat;964;113.9;35.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930966V;COLLEGE PRIVE ALLIANCE;LES PAVILLONS SOUS BOIS;93057;privé sous contrat;290;137.3;30.2
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0930970Z;COLLEGE PRIVE TEBROTZASSERE;LE RAINCY;93062;privé sous contrat;74;110.4;28.3
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931143M;COLLEGE JEAN JAURES;SAINT OUEN SUR SEINE;93070;public;622;92.1;30.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931145P;COLLEGE ROBESPIERRE;EPINAY SUR SEINE;93031;public;695;86.4;28.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931181D;COLLEGE GEORGES POLITZER;BAGNOLET;93006;public;582;91.5;34.9
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931191P;COLLEGE ROMAIN ROLLAND;TREMBLAY EN FRANCE;93073;public;629;101.1;29.3
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931199Y;COLLEGE ARETHA FRANKLIN;DRANCY;93029;public;549;82.3;20.6
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931202B;COLLEGE LIBERTE;DRANCY;93029;public;567;80.1;25.9
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931219V;COLLEGE JEAN JACQUES ROUSSEAU;LE PRE SAINT GERVAIS;93061;public;553;94.8;36.7
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931221X;COLLEGE LOUISE MICHEL;CLICHY SOUS BOIS;93014;public;550;74.3;23.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931223Z;COLLEGE GUSTAVE COURBET;PIERREFITTE SUR SEINE;93059;public;718;78.4;23.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931227D;COLLEGE PASTEUR;VILLEMOMBLE;93077;public;663;103.9;34.4
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931228E;COLLEGE ALBERT CAMUS;NEUILLY SUR MARNE;93050;public;507;98.0;36.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931381W;COLLEGE GUSTAVE COURBET;ROMAINVILLE;93063;public;772;97.7;37.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931439J;COLLEGE MARIE CURIE;LES LILAS;93045;public;545;112.9;39.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931528F;COLLEGE PRIVE SAINT JOSEPH LA SALLE;PANTIN;93055;privé sous contrat;599;109.0;33.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931546A;COLLEGE JEAN JAURES;MONTFERMEIL;93047;public;717;88.8;27.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931607S;COLLEGE JEAN JAURES;VILLEPINTE;93078;public;585;88.7;25.8
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931614Z;COLLEGE JACQUES PREVERT;NOISY LE GRAND;93051;public;685;88.6;26.2
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931712F;COLLEGE JEAN JAURES;MONTREUIL;93048;public;439;113.1;40.7
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931844Z;COLLEGE PRIVE CHARLES PEGUY;BOBIGNY;93008;privé sous contrat;357;103.3;32.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931855L;COLLEGE PRIVE MERKAZ HATORAH GARCONS;GAGNY;93032;privé sous contrat;124;142.7;28.1
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931883S;COLLEGE RENE CASSIN;NOISY LE SEC;93053;public;341;84.0;30.5
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0931979W;COLLEGE GEORGES BRASSENS;SEVRAN;93071;public;621;86.0;28.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932038K;COLLEGE FRANCOISE DOLTO;VILLEPINTE;93078;public;529;90.0;26.7
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932261C;COLLEGE JOSEPHINE BAKER;SAINT OUEN SUR SEINE;93070;public;532;85.5;30.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932263E;COLLEGE CAMILLE CLAUDEL;VILLEPINTE;93078;public;669;83.5;26.3
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932272P;COLLEGE ROSA LUXEMBURG;AUBERVILLIERS;93001;public;455;77.4;24.7
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932301W;COLLEGE HENRI IV;VAUJOURS;93074;public;473;99.1;32.0
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932578X;COLLEGE SIMONE VEIL;AULNAY SOUS BOIS;93005;public;581;105.1;29.6
2023-2024;CRETEIL;093;SEINE-SAINT-DENIS;0932579Y;COLLEGE CESARIA EVORA;MONTREUIL;93048;public;371;92.6;32.1
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940022N;COLLEGE JEAN PERRIN;LE KREMLIN BICETRE;94043;public;335;98.3;27.3
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940024R;COLLEGE ECOLE DECROLY;SAINT MANDE;94067;public;122;146.4;31.5
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940071S;COLLEGE LIBERTE;CHEVILLY LARUE;94021;public;418;102.7;30.5
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940090M;COLLEGE PAUL VALERY;THIAIS;94073;public;691;112.0;36.5
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940575P;COLLEGE PAUL KLEE;THIAIS;94073;public;654;97.6;36.1
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940794C;COLLEGE GUSTAVE MONOD;VITRY SUR SEINE;94081;public;409;76.7;27.3
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940808T;COLLEGE PRIVE NOTRE DAME DES MISSIONS;CHARENTON LE PONT;94018;privé sous contrat;724;147.6;27.2
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940810V;COLLEGE PRIVE SAINT ANDRE;NOGENT SUR MARNE;94052;privé sous contrat;328;141.5;27.0
2023-2024;CRETEIL;094;VAL-DE-MARNE;0940879V;COLLEGE PRIVE JEANNE D ARC;SAINT MAUR DES FOSSES;94068;privé sous contrat;445;142.6;29.9
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941017V;COLLEGE ANTOINE DE SAINT EXUPERY;ORMESSON SUR MARNE;94055;public;502;119.5;34.0
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941025D;COLLEGE GEORGES POLITZER;IVRY SUR SEINE;94041;public;374;86.1;28.4
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941033M;COLLEGE JEAN PERRIN;VITRY SUR SEINE;94081;public;564;86.4;23.8
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941034N;COLLEGE JOSEPH LAKANAL;VITRY SUR SEINE;94081;public;446;83.9;26.1
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941035P;COLLEGE JEAN LURCAT;VILLEJUIF;94076;public;371;91.0;31.8
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941040V;COLLEGE EMILE ZOLA;CHOISY LE ROI;94022;public;314;85.2;23.6
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941091A;COLLEGE ANTOINE WATTEAU;NOGENT SUR MARNE;94052;public;542;121.1;39.3
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941095E;COLLEGE PAUL ELUARD;BONNEUIL SUR MARNE;94011;public;538;81.2;25.1
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941100K;COLLEGE PAUL BERT;CACHAN;94016;public;565;125.2;39.3
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941233E;COLLEGE ALBERT CAMUS;THIAIS;94073;public;411;98.3;32.9
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941351H;COLLEGE LOUIS ISSAURAT;CRETEIL;94028;public;418;93.7;30.0
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941431V;COLLEGE HENRI ROL TANGUY;CHAMPIGNY SUR MARNE;94017;public;527;104.9;34.5
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941598B;COLLEGE HECTOR BERLIOZ;VINCENNES;94080;public;467;147.1;31.3
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941599C;COLLEGE EDOUARD BRANLY;NOGENT SUR MARNE;94052;public;470;135.4;35.9
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941602F;COLLEGE CHRISTIANE DESROCHES NOBLECOURT;VILLENEUVE LE ROI;94077;public;397;94.0;32.5
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941713B;COLLEGE PRIVE MONTALEMBERT;NOGENT SUR MARNE;94052;privé sous contrat;619;155.7;21.4
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941716E;COLLEGE PRIVE PETIT VAL;SUCY EN BRIE;94071;privé sous contrat;721;139.3;28.9
2023-2024;CRETEIL;094;VAL-DE-MARNE;0941782B;COLLEGE GEORGES BRASSENS;SANTENY;94070;public;467;119.1;31.4
2023-2024;VERSAILLES;095;VAL-D'OISE;0950023J;COLLEGE HENRI WALLON;GARGES LES GONESSE;95268;public;639;68.7;21.3
2023-2024;VERSAILLES;095;VAL-D'OISE;0950722U;COLLEGE JEAN MOULIN;SANNOIS;95582;public;627;87.5;31.9
2023-2024;VERSAILLES;095;VAL-D'OISE;0950789S;COLLEGE PRIVE SAINT JOSEPH;ARGENTEUIL;95018;privé sous contrat;518;131.8;33.2
2023-2024;VERSAILLES;095;VAL-D'OISE;0950893E;COLLEGE ANDRE CHENIER;EAUBONNE;95203;public;607;98.5;30.6
2023-2024;VERSAILLES;095;VAL-D'OISE;0950896H;COLLEGE NICOLAS FLAMEL;PONTOISE;95500;public;583;90.6;29.7
2023-2024;VERSAILLES;095;VAL-D'OISE;0950898K;COLLEGE PIERRE ET MARIE CURIE;L ISLE ADAM;95313;public;806;117.7;34.0
2023-2024;VERSAILLES;095;VAL-D'OISE;0950900M;COLLEGE ANATOLE FRANCE;SARCELLES;95585;public;406;69.8;16.6
2023-2024;VERSAILLES;095;VAL-D'OISE;0950908W;COLLEGE FRANCOIS MAURIAC;LOUVRES;95351;public;587;99.3;29.2
2023-2024;VERSAILLES;095;VAL-D'OISE;0950930V;COLLEGE GEORGES POMPIDOU;ENGHIEN LES BAINS;95210;public;394;122.3;35.9
2023-2024;VERSAILLES;095;VAL-D'OISE;0951050A;COLLEGE PIERRE CURIE;GOUSSAINVILLE;95280;public;566;87.1;28.7
2023-2024;VERSAILLES;095;VAL-D'OISE;0951094Y;COLLEGE PAUL VAILLANT COUTURIER;ARGENTEUIL;95018;public;726;86.2;27.6
2023-2024;VERSAILLES;095;VAL-D'OISE;0951190C;COLLEGE LANGEVIN WALLON;SAINT GRATIEN;95555;public;645;105.9;36.9
2023-2024;VERSAILLES;095;VAL-D'OISE;0951195H;COLLEGE MARCEL PAGNOL;SAINT OUEN L AUMONE;95572;public;744;92.9;32.1
2023-2024;VERSAILLES;095;VAL-D'OISE;0951197K;COLLEGE GEORGES BRASSENS;TAVERNY;95607;public;696;106.9;35.9
