numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0630914B,1965-08-10,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0630922K,1966-08-09,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0630932W,1966-08-09,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0630975T,1966-08-09,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0630985D,1966-10-11,1992-10-26,151,ECOLE DE NIVEAU ELEMENTAIRE
0631003Y,1966-10-07,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631039M,1967-04-14,2019-08-31,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0631045U,1967-04-17,1984-08-31,320,LYCEE PROFESSIONNEL
0631091U,1967-04-07,1978-09-14,340,COLLEGE
0631092V,1967-04-07,2021-08-31,340,COLLEGE
0631095Y,1967-04-07,2011-08-31,340,COLLEGE
0631130L,1968-11-28,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631141Y,1968-11-06,1990-08-31,101,ECOLE MATERNELLE
0631146D,1968-11-06,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631283C,1970-09-21,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631294P,1971-03-12,2021-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631301X,1971-03-18,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631314L,1971-03-12,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631326Z,1971-03-12,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631331E,1971-03-18,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631346W,1971-03-18,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631347X,1971-03-12,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631353D,1971-03-18,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631358J,1971-03-18,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631393X,1971-07-12,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631409P,1972-02-04,2022-08-31,320,LYCEE PROFESSIONNEL
0631417Y,1972-06-09,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631432P,1972-06-09,2006-08-31,101,ECOLE MATERNELLE
0631488A,1974-05-08,2019-08-31,101,ECOLE MATERNELLE
0631527T,1976-06-02,1994-06-26,101,ECOLE MATERNELLE
0631591M,1977-05-23,2002-08-31,101,ECOLE MATERNELLE
0631678G,1979-09-01,2006-08-31,101,ECOLE MATERNELLE
0631770G,1983-09-01,2023-08-31,101,ECOLE MATERNELLE
0631809Z,1988-09-01,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0631825S,1991-05-01,1993-08-31,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0631938P,2001-09-01,2009-08-31,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE
0632010T,2006-09-01,2023-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640178W,1967-03-22,1986-08-31,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0640225X,1968-11-15,1994-08-31,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0640281H,1970-01-08,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640318Y,1970-01-22,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640339W,1970-01-23,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640351J,1970-01-20,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640356P,1970-01-23,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640378N,1970-01-22,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640413B,1970-01-23,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640474T,1970-02-09,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640475U,1970-02-09,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640489J,1970-02-09,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640543T,1970-01-29,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640575C,1970-02-02,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640578F,1970-01-29,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640584M,1970-01-22,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640585N,1970-01-22,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640587R,1970-02-02,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640613U,1970-01-23,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640614V,1970-02-02,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640623E,1970-01-23,2022-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640628K,1970-01-26,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640646E,1970-01-23,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640662X,1970-01-23,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640665A,1970-01-22,2017-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640670F,1970-01-21,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640678P,1970-01-21,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640682U,1970-01-21,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640687Z,1970-01-21,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640690C,1970-01-21,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640714D,1970-02-02,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640732Y,1970-01-23,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640748R,1970-02-02,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640769N,1970-02-05,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640777X,1970-02-09,2012-08-31,101,ECOLE MATERNELLE
0640789K,1970-02-09,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640790L,1970-02-09,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640801Y,1970-02-09,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640814M,1970-02-02,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640817R,1970-02-02,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640820U,1970-02-02,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640821V,1970-02-09,2013-08-31,101,ECOLE MATERNELLE
0640831F,1970-02-03,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640839P,1970-02-03,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640840R,1970-02-09,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640845W,1970-02-09,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640846X,1970-02-09,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640867V,1970-02-09,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640868W,1970-02-05,2003-08-20,151,ECOLE DE NIVEAU ELEMENTAIRE
0640886R,1970-02-03,2013-08-31,101,ECOLE MATERNELLE
0640892X,1970-02-04,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640913V,1970-02-05,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640923F,1970-02-04,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640925H,1970-02-04,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640952M,1970-01-26,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640955R,1970-02-05,2011-08-31,153,ECOLE ELEMENTAIRE D APPLICATION
0640971H,1970-02-06,2002-08-31,101,ECOLE MATERNELLE
0640974L,1970-02-03,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0640993G,1970-02-09,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0641000P,1970-02-05,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0641012C,1970-01-26,2021-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0641013D,1970-01-26,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0641020L,1970-02-05,2015-08-31,101,ECOLE MATERNELLE
0641031Y,1970-01-26,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0641037E,1970-02-06,2021-08-31,101,ECOLE MATERNELLE
0680227C,1966-11-08,2022-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680239R,1966-11-08,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680255H,1966-11-08,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680290W,1966-11-10,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680309S,1966-11-10,2023-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0680320D,1966-11-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680350L,1966-11-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680371J,1966-11-10,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680427V,1966-10-20,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680437F,1966-10-21,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680442L,1966-10-21,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680502B,1966-10-29,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680606P,1966-11-29,2001-08-31,101,ECOLE MATERNELLE
0680637Y,1966-11-25,1993-08-31,101,ECOLE MATERNELLE
0680649L,1966-11-25,2016-08-30,101,ECOLE MATERNELLE
0680681W,1966-11-28,2017-08-31,101,ECOLE MATERNELLE
0680700S,1966-11-28,2018-08-31,101,ECOLE MATERNELLE
0680730Z,1966-11-28,2008-08-31,101,ECOLE MATERNELLE
0680731A,1966-10-24,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680734D,1966-10-24,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680752Y,1966-10-25,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680761H,1966-10-26,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680796W,1966-10-27,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680823A,1966-10-27,1978-09-13,151,ECOLE DE NIVEAU ELEMENTAIRE
0680851F,1966-11-14,1978-09-13,151,ECOLE DE NIVEAU ELEMENTAIRE
0680869A,1966-11-14,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680905P,1966-11-16,2022-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680915A,1966-11-16,2020-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680916B,1966-11-16,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680917C,1966-11-16,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680943F,1966-11-17,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680948L,1966-11-17,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680967G,1966-11-17,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0680980W,1966-11-17,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681003W,1966-11-18,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681005Y,1966-11-18,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681079D,1966-11-21,2010-08-31,101,ECOLE MATERNELLE
0681095W,1966-11-22,2010-08-31,101,ECOLE MATERNELLE
0681096X,1966-11-22,2002-08-31,101,ECOLE MATERNELLE
0681105G,1966-11-22,1988-08-31,101,ECOLE MATERNELLE
0681119X,1966-11-24,2006-08-31,101,ECOLE MATERNELLE
0681266G,1971-02-01,2000-08-31,340,COLLEGE
0681376B,1973-06-18,2013-08-31,101,ECOLE MATERNELLE
0681381G,1973-06-18,1988-08-31,101,ECOLE MATERNELLE
0681403F,1974-05-29,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681458R,1975-09-22,2022-08-31,101,ECOLE MATERNELLE
0681465Y,1975-09-22,2008-08-31,101,ECOLE MATERNELLE
0681484U,1975-09-29,1989-08-31,101,ECOLE MATERNELLE
0681502N,1976-05-19,2020-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681544J,1977-06-21,2015-08-31,101,ECOLE MATERNELLE
0681557Y,1977-06-21,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0681561C,1977-09-21,1978-09-13,101,ECOLE MATERNELLE
0681564F,1977-10-06,2000-08-31,101,ECOLE MATERNELLE
0681655E,1968-03-14,1983-08-31,320,LYCEE PROFESSIONNEL
0681866J,1993-05-01,2000-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681867K,1993-05-01,2005-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681896S,1994-09-01,2009-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681897T,1994-09-01,2005-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681940P,1997-09-01,1998-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681941R,1997-09-01,1999-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681943T,1997-09-01,1999-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0681987R,2004-05-04,2011-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0690086U,1968-10-04,1992-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0690100J,1965-05-01,2001-08-31,320,LYCEE PROFESSIONNEL
0690144G,1973-06-06,1987-08-31,101,ECOLE MATERNELLE
0690148L,1973-06-06,1998-08-31,101,ECOLE MATERNELLE
0690153S,1973-06-06,2010-08-31,101,ECOLE MATERNELLE
0690158X,1973-06-07,1998-08-31,101,ECOLE MATERNELLE
0690166F,1973-06-07,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690174P,1973-06-07,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690220P,1968-10-23,2013-08-31,101,ECOLE MATERNELLE
0690225V,1968-10-23,1981-10-29,101,ECOLE MATERNELLE
0690227X,1968-08-29,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690228Y,1968-08-29,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690229Z,1968-10-23,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690240L,1968-10-23,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690242N,1968-10-23,2019-08-31,101,ECOLE MATERNELLE
0690293U,1966-09-12,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690325D,1966-10-13,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690350F,1966-10-12,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690385U,1966-10-17,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690398H,1966-10-12,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690417D,1966-10-12,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690422J,1966-10-12,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690448M,1966-10-18,2023-08-31,101,ECOLE MATERNELLE
0690474R,1966-10-18,2018-08-31,101,ECOLE MATERNELLE
0690479W,1966-10-18,1995-08-31,101,ECOLE MATERNELLE
0690505Z,1966-10-18,2004-08-31,101,ECOLE MATERNELLE
0690558G,1967-04-10,1979-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0690565P,1967-04-07,1988-06-30,302,LYCEE D ENSEIGNEMENT GENERAL
0690609M,1967-04-24,1988-06-30,340,COLLEGE
0690654L,1949-04-08,2020-06-24,320,LYCEE PROFESSIONNEL
0690694E,1964-01-04,1995-09-21,320,LYCEE PROFESSIONNEL
0690721J,1967-06-15,1991-08-24,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0690748N,1966-10-17,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690786E,1966-10-14,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690796R,1966-10-14,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690813J,1966-10-15,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690815L,1966-10-14,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690820S,1966-10-15,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690887P,1966-09-21,1982-09-05,151,ECOLE DE NIVEAU ELEMENTAIRE
0690902F,1966-10-05,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690904H,1966-09-29,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690938V,1966-09-20,1982-09-05,151,ECOLE DE NIVEAU ELEMENTAIRE
0690942Z,1966-10-17,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690956P,1966-10-17,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690965Z,1966-10-15,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690975K,1966-10-17,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690982T,1966-10-17,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0690994F,1966-10-17,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691000M,1966-10-18,1995-09-13,151,ECOLE DE NIVEAU ELEMENTAIRE
0691023M,1966-10-11,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691061D,1966-10-17,2011-08-31,101,ECOLE MATERNELLE
0691063F,1966-10-17,2003-08-31,101,ECOLE MATERNELLE
0691084D,1966-10-17,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691088H,1966-10-17,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691094P,1966-10-18,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691100W,1966-10-18,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691117P,1966-10-18,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691128B,1966-10-17,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691149Z,1966-10-18,2011-08-31,101,ECOLE MATERNELLE
0691187R,1966-10-18,2013-08-31,101,ECOLE MATERNELLE
0691230M,1966-10-06,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691247F,1966-10-11,1980-09-21,151,ECOLE DE NIVEAU ELEMENTAIRE
0691265A,1966-09-20,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691280S,1966-10-06,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691309Y,1966-09-20,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691332Y,1966-10-13,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691346N,1966-10-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691355Y,1966-12-14,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691384E,1966-10-13,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0691390L,1966-10-13,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710014E,1965-05-01,2020-08-31,320,LYCEE PROFESSIONNEL
0710076X,1976-09-01,2009-08-31,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0710078Z,1990-09-01,2009-08-31,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0710103B,1907-09-01,1995-08-31,340,COLLEGE
0710153F,1949-08-13,2012-10-01,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0710161P,1901-09-01,2008-08-31,101,ECOLE MATERNELLE
0710170Z,1964-09-01,1994-08-31,101,ECOLE MATERNELLE
0710171A,1963-09-01,2019-08-31,101,ECOLE MATERNELLE
0710176F,1966-10-01,2016-08-31,101,ECOLE MATERNELLE
0710191X,1961-09-01,2008-08-31,101,ECOLE MATERNELLE
0710195B,1965-09-01,2009-08-31,101,ECOLE MATERNELLE
0710196C,1973-09-01,2022-08-31,101,ECOLE MATERNELLE
0710199F,1966-10-01,2005-08-31,101,ECOLE MATERNELLE
0710211U,1946-09-01,2017-08-31,101,ECOLE MATERNELLE
0710212V,1957-10-01,2004-08-31,101,ECOLE MATERNELLE
0710228M,1966-10-01,2021-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710231R,1966-10-01,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710267E,1963-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710286A,1963-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710320M,1904-09-01,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710337F,1966-10-01,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710349U,1966-10-01,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710365L,1966-10-01,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710369R,1966-10-01,2017-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710388L,1958-10-01,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710400Z,1966-10-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710404D,1966-10-01,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710414P,1952-09-01,2005-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710416S,1966-10-01,2005-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710430G,1966-10-12,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710447A,1960-09-01,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710452F,1966-10-01,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710459N,1966-10-01,2016-08-31,101,ECOLE MATERNELLE
0710477H,1966-10-14,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710491Y,1966-10-01,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710494B,1966-10-01,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710506P,1966-10-01,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710520E,1971-09-01,2008-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710531S,1966-10-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710552P,1953-09-01,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710560Y,1966-10-17,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710566E,1966-10-01,2005-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710576R,1901-09-01,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710600S,1903-09-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710607Z,1906-09-01,2005-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710614G,1915-09-01,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710622R,1938-09-01,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710648U,1905-10-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710664L,1962-09-01,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710748C,1966-10-01,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710751F,1964-09-01,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710762T,1901-09-01,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710763U,1958-10-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710774F,1966-10-01,2021-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710795D,1966-10-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710798G,1966-10-01,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710800J,1907-09-01,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710805P,1927-09-01,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710812X,1966-10-07,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710813Y,1966-10-01,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710820F,1966-10-01,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710822H,1973-09-01,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710828P,1970-09-01,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710831T,1901-09-01,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710890G,1966-10-01,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710924U,1937-09-01,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710943P,1935-09-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710944R,1930-09-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710946T,1938-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710953A,1901-09-01,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710957E,1956-09-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710973X,1901-09-01,2023-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710987M,1979-09-01,2003-08-31,101,ECOLE MATERNELLE
0710995W,1966-10-01,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0710996X,1966-10-01,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711002D,1966-10-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711004F,1901-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711014S,1966-10-19,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711019X,1966-10-18,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711047C,1966-10-01,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711062U,1968-09-01,2008-08-31,101,ECOLE MATERNELLE
0711093C,1971-09-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711139C,1906-09-01,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711165F,1959-09-01,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711196P,1960-09-01,2020-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711221S,1965-09-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0711239L,1971-09-01,2013-08-31,101,ECOLE MATERNELLE
0711240M,1972-09-01,2021-08-31,101,ECOLE MATERNELLE
0711280F,1955-10-01,2016-08-31,101,ECOLE MATERNELLE
0711300C,1973-09-01,2005-08-31,101,ECOLE MATERNELLE
0711340W,1974-09-01,1995-08-31,101,ECOLE MATERNELLE
0711356N,1974-09-01,1992-08-31,101,ECOLE MATERNELLE
0711398J,1908-09-01,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
