numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0330987U,1965-08-10,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330998F,1965-08-10,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331031S,1965-08-10,1988-01-04,151,ECOLE DE NIVEAU ELEMENTAIRE
0331060Y,1965-08-10,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331144P,1965-08-10,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331170T,1965-08-10,2018-08-31,101,ECOLE MATERNELLE
0331280M,1965-08-10,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331288W,1965-08-10,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331290Y,1965-08-10,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331331T,1965-08-10,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331358X,1965-08-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331398R,1965-08-10,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331430A,1966-10-03,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331480E,1977-09-15,2023-08-31,101,ECOLE MATERNELLE
0331516U,1967-03-16,1990-08-31,340,COLLEGE
0331560S,1967-04-10,1986-08-31,320,LYCEE PROFESSIONNEL
0331577K,1967-04-10,1992-08-31,320,LYCEE PROFESSIONNEL
0331629S,1968-07-09,1979-08-31,340,COLLEGE
0331631U,1968-11-14,1990-08-31,101,ECOLE MATERNELLE
0331835R,1996-09-01,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331910X,1971-03-29,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0331976U,1971-03-29,1986-11-16,151,ECOLE DE NIVEAU ELEMENTAIRE
0332045U,1971-06-17,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0332067T,1971-06-17,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0332361M,1976-05-15,2011-08-31,101,ECOLE MATERNELLE
0332363P,1976-05-15,2021-08-31,101,ECOLE MATERNELLE
0332381J,1978-02-27,1979-08-31,101,ECOLE MATERNELLE
0332450J,1979-09-01,1980-08-31,101,ECOLE MATERNELLE
0332480S,1980-09-01,2016-08-31,101,ECOLE MATERNELLE
0332564H,1982-01-01,1985-08-31,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0332608F,1983-09-01,1993-08-31,101,ECOLE MATERNELLE
0332697C,1984-09-01,1995-08-31,101,ECOLE MATERNELLE
0332711T,1985-09-01,1985-09-05,101,ECOLE MATERNELLE
0332726J,1986-03-06,1992-10-12,302,LYCEE D ENSEIGNEMENT GENERAL
0332731P,1986-09-01,2014-08-30,101,ECOLE MATERNELLE
0332753N,1987-09-01,1992-09-28,320,LYCEE PROFESSIONNEL
0332760W,1988-02-01,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0332872T,1993-02-22,1993-05-24,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0332878Z,1993-09-01,1997-08-31,101,ECOLE MATERNELLE
0332941T,1996-02-01,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0333098N,2003-09-01,2014-08-30,101,ECOLE MATERNELLE
0333361Z,2016-04-14,2021-08-31,101,ECOLE MATERNELLE
0333564V,2022-07-03,2023-08-31,340,COLLEGE
0340134L,1968-09-25,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340182N,1965-07-10,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340227M,1965-07-10,2004-08-31,101,ECOLE MATERNELLE
0340232T,1965-07-10,2004-08-31,101,ECOLE MATERNELLE
0340240B,1965-07-10,2008-08-31,101,ECOLE MATERNELLE
0340293J,1965-07-10,2000-08-31,101,ECOLE MATERNELLE
0340320N,1965-07-10,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340358E,1965-07-10,2017-08-31,101,ECOLE MATERNELLE
0340361H,1965-07-10,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340363K,1965-07-10,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340468Z,1965-07-10,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340473E,1965-07-10,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340481N,1965-07-10,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340484S,1965-07-10,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340490Y,1965-07-10,1986-09-02,151,ECOLE DE NIVEAU ELEMENTAIRE
0340492A,1965-07-10,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340506R,1968-09-25,2021-08-31,101,ECOLE MATERNELLE
0340519E,1965-07-10,2011-08-31,153,ECOLE ELEMENTAIRE D APPLICATION
0340526M,1965-07-10,2012-08-31,101,ECOLE MATERNELLE
0340546J,1965-07-10,1993-08-31,101,ECOLE MATERNELLE
0340550N,1965-07-10,1996-08-31,101,ECOLE MATERNELLE
0340565E,1965-07-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340566F,1965-07-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340583Z,1965-07-10,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340584A,1965-07-10,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340625V,1965-07-10,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340636G,1965-07-10,2008-08-31,101,ECOLE MATERNELLE
0340650X,1965-07-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340659G,1965-07-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340672W,1965-07-10,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
