Code INSEE,Type local,Valeur fonciere
01289,Appartement,161901.7857142857
01289,Maison,280438.359375
01290,Appartement,313974.0
01290,Maison,314571.4285714286
01291,Maison,283500.0
01293,Appartement,220000.0
01294,Maison,218402.66666666666
01295,Appartement,227483.33333333334
01295,Maison,217333.33333333334
01296,Maison,177500.0
01297,Maison,245650.0
01298,Maison,263000.0
01299,Appartement,220000.0
01299,Maison,313200.0
01301,Appartement,352225.615
01301,Maison,248282.71030303033
01302,Maison,12000.0
01303,Appartement,133250.0
01303,Maison,215584.2105263158
01304,Appartement,102363.63636363637
01304,Maison,197418.64705882352
01305,Appartement,171067.20086956522
01305,Maison,229341.6695238095
01306,Appartement,103852.63157894737
01306,Maison,210554.2857142857
01307,Appartement,106333.33333333333
01307,Maison,173125.0
01308,Appartement,477142.85714285716
01308,Maison,346716.75
01309,Maison,27000.0
01310,Maison,95000.0
01311,Maison,100000.0
01313,Appartement,383968.18510638294
01313,Maison,858738.4933333333
01314,Appartement,263454.54545454547
01314,Maison,258951.5
01317,Maison,226400.0
01318,Maison,266250.0
01319,Maison,390166.6666666667
01320,Appartement,230555.55555555556
01320,Maison,221265.43333333332
01321,Maison,234438.57142857142
01322,Appartement,359076.6666666667
01322,Maison,566497.4722222222
01323,Maison,205178.82352941178
01325,Maison,286463.96249999997
01328,Appartement,351860.0
01328,Maison,375657.14285714284
01329,Maison,137000.0
01331,Maison,40000.0
01332,Maison,236012.33000000002
01333,Appartement,200381.25
01333,Maison,385177.5
01334,Maison,290223.07692307694
01335,Maison,277020.0
01336,Appartement,241500.0
01336,Maison,249142.85714285713
01337,Maison,246847.72727272726
01338,Appartement,191500.0
01338,Maison,194526.0
01339,Maison,612220.0
01342,Maison,504000.0
01343,Maison,280958.5
01344,Appartement,133333.33333333334
01344,Maison,258620.38353846152
01345,Appartement,121875.0
01345,Maison,250895.15
01346,Maison,193375.0
01347,Appartement,307000.0
01347,Maison,571214.2608695652
01348,Appartement,214826.66666666666
01348,Maison,311030.1935483871
01349,Maison,316246.8181818182
01350,Appartement,101450.0
01350,Maison,248043.125
01351,Appartement,95000.0
01351,Maison,365562.9166666667
01352,Maison,262750.0
01353,Appartement,167220.5
01353,Maison,402578.35
01354,Appartement,362959.9610967742
01354,Maison,580516.1632653062
01355,Maison,276825.55555555556
01357,Appartement,65000.0
01357,Maison,157500.0
01358,Maison,162650.3809090909
01359,Maison,324333.3333333333
01360,Appartement,301253.8
01360,Maison,694153.1818181818
01361,Appartement,257956.5675
01361,Maison,365960.96428571426
01362,Appartement,248200.0
01362,Maison,505840.0
01363,Appartement,280000.0
01363,Maison,253510.0
01364,Maison,111117.82608695653
01365,Appartement,230000.0
01365,Maison,267100.0
01366,Appartement,110000.0
01366,Maison,267250.0
01367,Maison,182166.66666666666
01368,Maison,329299.5
01369,Appartement,167000.0
01369,Maison,321050.0
01370,Appartement,259285.67441860464
01370,Maison,308183.3333333333
01371,Appartement,188000.0
01371,Maison,367375.45454545453
01372,Maison,186916.66666666666
01373,Maison,85876.0
01374,Maison,201678.20833333334
01375,Maison,276288.5714285714
01376,Appartement,190453.21137931035
01376,Maison,403444.4
01378,Appartement,189833.33333333334
01378,Maison,385420.4
01379,Appartement,173375.0
01379,Maison,153900.0
01380,Maison,196857.14285714287
01381,Maison,275355.625
01383,Appartement,120000.0
01383,Maison,241680.0
01384,Appartement,96636.36363636363
01384,Maison,120447.36842105263
01385,Maison,499697.76923076925
01386,Appartement,122333.33333333333
01386,Maison,262950.0
01387,Maison,219350.0
01388,Appartement,170166.66666666666
01388,Maison,188615.0
01389,Appartement,197916.66666666666
01389,Maison,313068.5416666667
01390,Maison,271000.0
01391,Maison,187000.0
01392,Maison,103500.0
01393,Maison,354500.0
01396,Appartement,261818.18181818182
01396,Maison,139720.0
01397,Appartement,413366.6666666667
01397,Maison,790389.4117647059
01398,Appartement,103600.0
01398,Maison,541995.7142857143
01399,Appartement,267856.25
01399,Maison,558892.2999999999
01400,Maison,110000.0
01401,Appartement,543400.0666666667
01401,Maison,674024.56
01402,Maison,176414.42857142858
01403,Maison,246857.14285714287
01404,Maison,171100.0
01405,Appartement,100750.0
01405,Maison,235200.0
01406,Maison,317250.0
01407,Appartement,195227.40740740742
01407,Maison,243374.16666666666
01408,Maison,126537.5
01410,Appartement,430000.0
01410,Maison,159000.0
01411,Maison,172678.0
01412,Appartement,289000.0
01412,Maison,296507.14285714284
01415,Appartement,90000.0
01415,Maison,306666.6666666667
01416,Appartement,59166.666666666664
01416,Maison,168375.0
01418,Maison,383038.0
01419,Appartement,476766.92441860464
01419,Maison,590806.8292682926
01420,Appartement,146800.05555555556
01420,Maison,165642.85714285713
01421,Maison,223400.0
01422,Appartement,124250.0
01422,Maison,302958.2916666667
01423,Maison,402657.54000000004
01424,Appartement,227750.0
01424,Maison,570462.8571428572
01425,Maison,321666.6666666667
01426,Appartement,132000.0
01426,Maison,240891.81666666668
01427,Appartement,255241.5254237288
01427,Maison,382731.39024390245
01428,Maison,365000.0
01429,Maison,237723.33333333334
01430,Maison,177785.7142857143
01431,Appartement,225000.0
01431,Maison,194515.15384615384
01432,Maison,184500.0
01433,Maison,135000.0
01434,Maison,354373.3333333333
01435,Appartement,395332.25
01435,Maison,581454.1176470588
01436,Appartement,274680.0
01436,Maison,808965.7142857143
01437,Maison,119514.28571428571
01441,Maison,172000.0
01443,Appartement,268050.8695652174
01443,Maison,322110.13157894736
01444,Appartement,81000.0
01444,Maison,137924.25
01445,Appartement,97333.33333333333
01445,Maison,194450.0
01446,Maison,362794.0
01447,Appartement,214000.0
01447,Maison,166503.53333333333
01448,Appartement,165000.0
01448,Maison,121750.0
01449,Maison,254457.14285714287
01450,Appartement,256937.5
01450,Maison,383670.652173913
01451,Appartement,159351.61
01451,Maison,454693.1884057971
01452,Appartement,141300.0
01452,Maison,130291.66666666667
01453,Maison,214200.0
01454,Appartement,102287.5
01454,Maison,344951.25
01457,Appartement,139382.35294117648
01457,Maison,236269.11764705883
02001,Maison,120666.66666666667
02002,Maison,127059.58333333333
02003,Maison,146556.25
02004,Maison,102825.0
02005,Maison,134700.0
02006,Maison,39200.0
02008,Maison,160950.0
02010,Maison,169333.33333333334
02011,Maison,208342.45
02013,Maison,150541.66666666666
02014,Maison,196975.0
02016,Maison,137500.0
02017,Maison,55071.57142857143
02018,Appartement,105000.0
02018,Maison,133325.0
02019,Maison,90000.0
02020,Maison,83333.33333333333
02021,Maison,44000.0
02022,Maison,160333.33333333334
02023,Maison,110000.0
02025,Maison,98520.0
